genre	artist_id	artist_name	all_genres	popularity	follower_count	track_id	track_name	track_popularity	track_length	track_danceability	track_energy	track_key	track_loudness	track_mode	track_speechiness	track_acousticness	track_instrumentalness	track_liveness	track_valence	track_tempo	track_type	track_duration	track_time_signature
k-pop	2FLqlgckDKdmpBrvLAT5BM	Eric Nam	k-pop; korean pop	64	219554	02sD9kxKrCboVcOKzx3VyZ	Potion	52	212478	0.726	0.711	11	-3.456	0	0.0889	0.137	1.8e-6	0.285	0.676	102.957	audio_features	212479	4
k-pop	5DuzBeOgFwViFcv00Q5PFb	WINNER	k-pop; korean pop	65	987863	02UNF1uo5f0UNgc1qx5XGt	REALLY REALLY	68	203056	0.765	0.769	2	-3.16	1	0.0595	0.167	0	0.0854	0.581	103.006	audio_features	203057	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	03FJaPsNcW9At7K4UWhdgc	Gorilla	49	185000	0.808	0.914	2	-2.087	1	0.0497	0.0998	0	0.163	0.824	103.994	audio_features	185000	4
k-pop	3Nrfpe0tUJi4K4DXYWgMUX	BTS	k-pop	91	7553232	03iCbZaM4OkRR4We6wIzvx	IDOL	81	260233	0.709	0.857	9	-3.394	1	0.0881	0.00219	0	0.103	0.446	126.038	audio_features	260234	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	05AIUaRzGCFQycDijiGtBM	Violet	51	236140	0.643	0.647	7	-6.174	1	0.0861	0.295	0	0.754	0.325	97.065	audio_features	236140	4
k-pop	3HqSLMAZ3g3d5poNaI7GOU	IU	k-pop; korean pop	71	633819	06EMBzxDm2hueehobAlMtm	Ending Scene	60	249241	0.388	0.323	5	-7.158	1	0.0348	0.851	2.03e-6	0.143	0.232	118.885	audio_features	249242	4
k-pop	2hRQKC0gqlZGPrmUKbcchR	SHINee	dance pop; j-pop; k-pop; korean pop	67	1129222	082T4CgUFyV0tjPdzaq6ml	Tell Me What To Do	54	246786	0.602	0.926	7	-1.78	1	0.177	0.102	0	0.317	0.288	125.107	audio_features	246787	4
k-pop	5RR0MLwcjc87wjSw2JYdwx	MOMOLAND	k-pop	68	719478	089QvCGproM6tZgdaszIBO	Hug me	47	219496	0.734	0.54	0	-4.427	1	0.0286	0.547	0	0.131	0.368	97.961	audio_features	219496	4
k-pop	3UwlejyX2b458azZ7eCnHb	HyunA	k-pop	62	549851	0AgMJriVSGWjN8WLaCqnDv	Cause I'm God Girl	59	202546	0.843	0.833	4	-3.32	0	0.226	0.00472	0.00114	0.29	0.681	102.128	audio_features	202547	4
k-pop	1wKpMkucynaTfG8lyPprYV	PENTAGON	k-pop	66	350023	0C2tTlEGYQnUAVgbtJ68MB	When It Rains In Night	48	244990	0.484	0.594	4	-4.76	0	0.0297	0.635	0	0.223	0.296	89.975	audio_features	244990	4
k-pop	5TnQc2N1iKlFjYD7CPGvFc	Day6	k-pop; korean pop	67	435460	0c32SSNatPH3AASuOael36	아 왜 I Wait	57	220224	0.468	0.902	11	-3.505	0	0.14	0.00636	0	0.0736	0.347	175.204	audio_features	220225	4
k-pop	6gzXCdfYfFe5XKhPKkYqxV	SUPER JUNIOR	k-pop; korean pop	69	979619	0cCm1PbOd6nqAPDdA3PRfs	Black Suit	61	201111	0.711	0.885	5	-3.299	0	0.0477	0.0044	0	0.207	0.866	121.978	audio_features	201112	4
k-pop	2JhAlkmukNvarUpGhTFXUQ	KARD	k-pop	61	702916	0EAUxlC7jGzCUkRcn9ydLF	Dímelo	53	201900	0.638	0.831	3	-3.355	1	0.167	0.118	0	0.275	0.686	183.582	audio_features	201901	4
