case_id	case_date	employer	address	city	state	zipcode	worksite	phone	job_title	crop	workers	base_pay
H-300-17250-837887	9/7/2017	"RC Packing, LLC"	26769 El Camino Real North	Gonzalez	CA	93926	"Yuma, AZ 85364"	831-675-0308	Farmworker	Lettuce	260	10.95
H-300-17249-354807	9/11/2017	"The Growers Company, Inc."	P.O. Box 3170	Somerton	AZ	85350	"Yuma, AZ 85364"	928-627-8080	General Farmworkers	Lettuce	440	10.95
H-300-17254-459556	9/11/2017	Argo-Cargo LLC	17614 S Ave 1 1/2 E	Yuma	AZ	85365	"Yuma, AZ 85364"	928-344-2892	Farmworker	Lettuce	70	10.95
H-300-17261-764320	9/19/2017	"SERVICIOS AGRICOLAS MEX, INC."	"15368 W. Westview Dr.,"	Goodyear	AZ	85395	"Scottsdale, AZ 85256"	623-374-1167	General Farmworkers	Broccoli	120	10.95
H-300-17258-170455	9/15/2017	"FRESH HARVEST, INC."	"Headquarters: 101 E. MAIN STREET, HEBER CA 92249"	Somerton	AZ	85352	"Yuma, AZ 85365"	760-352-5212	Vegetable Harvest Workers	Romaine Lettuce	795	10.95
H-300-17254-617116	9/14/2017	ELKHORN PACKING CO. LLC	"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901"	Yuma	AZ	85365	"Roll, AZ 85347"	831-676-3833	Field Workers	Spinach	563	10.95
H-300-17251-382116	9/14/2017	ELKHORN PACKING CO. LLC	"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901"	Yuma	AZ	85365	"Somerton, AZ 85350"	(831)-676-3833	Field Workers (Mix Romaine and Romaine Hearts)	Romaine Lettuce	286	12.5
H-300-17258-194499	9/18/2017	"Servicios Agricolas Mex, Inc."	15368 W. Westview Dr.	Goodyear	AZ	85395	"El Mirage, AZ 85335"	623-374-1167	General Farmworkers	General Farm Workers	52	10.95
H-300-17262-337572	9/25/2017	JR CUSTOM HARVESTING COMPANY INC.	"HEADQUARTERS:20300 SPENCE RD, SALINAS, CA 93908"	YUMA	AZ	85365	"Yuma, AZ 85365"	831-775-0370	Field Workers (Iceberg and Romaine Lettuce)	Romaine Lettuce	120	11.2
H-300-17229-016837	8/19/2017	"Kenly Farms, Inc."	5333 N 7th Street	Phoenix	AZ	85014	"Maricopa, AZ 85139"	602-955-0222	General Farmworker	Flowers	48	11
H-300-17265-194742	9/26/2017	"The Growers Company, Inc."	P.O. Box 3170	Somerton	AZ	85350	"Yuma, AZ 85365"	928-627-8080	General Farmworkers	Lettuce	130	10.95
H-300-17263-602672	9/20/2017	"FOOTHILL PACKING, INC."	1582 MOFFETT STREET SUITE G	SALINAS	CA	93905	"San Luis, AZ 85350"	831-784-1453	Field Workers	Romaine Lettuce	601	10.95
H-300-17262-408029	9/28/2017	"FOOTHILL PACKING, INC."	"AZ address: 12350 S Tangelo Ave., Yuma, AZ 85365"	SALINAS	CA	93905	"Somerton, AZ 85350"	831-784-1453	Field Worker (Harvest)	Kale	205	10.95
H-300-17262-222225	10/3/2017	VALLEY PRIDE INC.	"Corporate: 10735-B OCEAN MIST PARKWAY, CASTROVILLE, CA 95012"	Yuma	AZ	85364	"Yuma, AZ 85364"	831-633-5883	Field Worker (Head Lettuce Harvest)	Lettuce	170	10.95
H-300-17262-501496	9/25/2017	ZION HARVEST INC.	"HEADQUARTERS: 20300 Spence Road, Salinas, CA 93908"	YUMA	AZ	85365	"Wellton, AZ 85356"	831-751-9784	Field Workers (Iceberg Lettuce)	Iceberg Lettuce	35	11.2
H-300-17258-442421	9/20/2017	"FOOTHILL PACKING, INC."	"AZ address: 12350 S Tangelo Ave., Yuma, AZ 85365"	SALINAS	CA	93905	"Yuma, AZ 85365"	831-784-1453	Field Worker (Harvest)	Cabbage	60	10.95
H-300-17254-384186	9/11/2017	PGM Packing Inc.	1450 S Atlantic Ave	Yuma	AZ	85365	"Welton, AZ 85356"	(928)-329-7548	Farmworker	Broccoli	100	10.95
H-300-17268-510022	10/13/2017	D and J PACKING LLC	"HEADQUARTERS: 1588 MOFFETT ST., STE. B, SALINAS, CA 93905"	YUMA	AZ	85365	"Yuma, AZ 85364"	831-449-2494	Field Worker (Broccoli Harvest)	Broccoli	28	10.95
H-300-17290-690046	11/3/2017	ELKHORN PACKING CO. LLC	"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901"	Yuma	AZ	85365	"Somerton, AZ 85350"	831-676-3833	Field Workers	Celery	85	10.95
H-300-17293-861456	10/24/2017	"A. Oseguera Company, Inc."	1099 Rogge Road	Salinas	CA	93906	"Yuma, AZ 85365"	831-443-4155	Farm Worker; Crop	Cabbage	489	10.95
H-300-17297-664472	11/3/2017	"RANCHO NUEVO HARVESTING, INC."	"HEADQUARTERS: 1429 S. BLOSSER, SANTA MARIA, CA 93458"	SANTA MARIA	CA	93454	"Yuma, AZ 85364"	805.347.1370	Field Worker (Celery Harvester Organic & Conventio	Celery	60	10.95
H-300-17296-087592	11/17/2017	ELKHORN PACKING CO. LLC	"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901"	Yuma	AZ	85365	"Roll, AZ 85347"	831-676-3833	Field Workers	Celery	60	10.95
H-300-17311-885154	11/17/2017	"FOOTHILL PACKING, INC."	"AZ ADDR: 12350 S. TANGELO AVE., YUMA, AZ 85365"	SALINAS	CA	93905	"Yuma, AZ 85364"	831-784-1453	Beekeeper	Bees	5	10.95
H-300-17246-067490	11/14/2017	Desert Valley Honey LLC	2618 W Darrel Rd	Phoenix	AZ	85041	"Laveen, AZ 85339"	602-317-1228	Beekeeper	Bees	2	10.95
H-300-17300-500792	11/2/2017	CENTRAL ARIZONA FARMING INCORPORATED	7332 EAST BUTHERUS DRIVE	SCOTTSDALE	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	Farmworker*SEE ATTACHMENT for full title	General Farm Workers	22	10.95
H-300-17332-785306	11/28/2017	Manterola Sheep Company Inc	"20625 W. Clayton Rd., Casa Grande AZ 85193"	Casa Grande	AZ	85193	"Casa Grande, AZ 85193"	520-836-8597	Range Livestock Worker	Open Range Livestock	2	1389.67
H-300-17296-131584	11/28/2017	"FONDOMONTE CALIFORNIA, LLC"	250 N Litchfield Rd	Goodyear	AZ	85338	"Blythe, CA 92225"	623-222-5148	Farm Machine Operator	Hay and Straw	18	12.57
H-300-17326-091827	11/22/2017	"Riverview, LLP"	26406 470th Ave	Morris	MN	56267	"Willcox, AZ 85643"	320-392-6720	Farm Labor	Agricultural Equipment Operators	9	10.95
H-300-17296-218806	11/27/2017	"Fondomonte Arizona, LLC"	250 N Litchfield Rd	Goodyear	AZ	85338	"Salome, AZ 85348"	623-222-5148	Farm Machine Operator	Hay and Straw	45	10.95
H-300-17325-096770	11/21/2017	Southwest Ag Farms LLC	P.O. Box 540	Sunray	TX	79096	"Willcox, AZ 85643"	806-948-1325	Farm Labor	Corn	3	10.95
H-300-17353-966951	12/21/2017	ELKHORN PACKING CO. LLC	"CA ADDR: 60 W MARKET ST. STE 150, Salinas, CA, 93901"	Yuma	AZ	85365	"Roll, AZ 85347"	831-676-3833	Field Workers	Lettuce	22	10.95
H-300-17341-246685	12/21/2017	"FOOTHILL PACKING, INC."	"AZ address: 12350 S Tangelo Ave., Yuma, AZ 85365"	SALINAS	CA	93905	"Yuma, AZ 85364"	831-784-1453	Field Worker (Dates)	Trees	75	10.46
H-300-17301-080888	12/6/2017	Pam's Kitchen Services LLC	148 Coconino St	Wickenburg	AZ	85390	"Aguila, AZ 85320"	928-302-8454	Cookers	Melons	8	10.95
H-300-17324-371627	11/21/2017	CENTRAL ARIZONA FARMING INCORPORATED	7332 EAST BUTHERUS DRIVE	SCOTTSDALE	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	Farmworker*SEE ATTACHMENT for full title	Canteloupes	60	10.95
H-300-17326-683315	11/22/2017	Arizona Apiaries LLC	7914 N 175 Ave	Waddell	AZ	85355	"Litchfield Park, AZ 85340"	623-695-7833	Beekeeper	Bees	12	12
H-300-18005-610347	1/5/2018	"Ag Installers, Inc."	PO BOX 443	BOUSE	AZ	85325	"Bouse, AZ 85325"	281-330-1541	Farm Worker and Laborers	Construction of Livestock Buildings	24	10.5
H-300-17348-996245	12/18/2017	"AG INSTALLERS, INC."	PO BOX 443	Bouse	AZ	85325	"Bloomfield, NE 68718"	281-330-1541	Farm Worker/Laborer	Construction of Livestock Buildings	60	13.79
H-300-18011-814719	1/18/2018	"FRESH HARVEST, INC."	"HEADQUARTERS: 101 E. Main Street, Heber, CA 92249"	Somerton	AZ	85352	"Buckeye, AZ 85326"	760-352-5212	Field Workers: Harvest/Field Labor Crops	Cabbage	30	10.5
H-300-17338-236962	1/13/2018	"Auza Ranches, LLC"	843 West Cottonwood Lane	Casa Grande	AZ	85122	"Casa Grande, AZ 85122"	520-426-9313	Farm Worker	Alfalfa	12	10.5
H-300-18011-407130	1/12/2018	"Demaray Harvesting & Trucking, LLC"	2082 N. Curry Road	Casa Grande	AZ	85194	"Casa Grande, AZ 85194"	925-215-1277	Agricultural Equipment Operator	Agricultural Equipment Operators	32	10.5
H-300-18017-604551	1/17/2018	"CY Ranchs, LLC"	"13825 N. 7th St., Suite M"	Phoenix	AZ	85022	"Bancroft, ID 83217"	602-993-0940	Farm/Irrigation/Livestock Worker	Wheat	2	11.63
H-300-18016-423724	1/17/2018	"TAYLOR'S HERB GARDEN OF ARIZONA, INC"	23375 W Hwy 71	Congress	AZ	85232	"Congress, AZ 85232"	928-427-3201	"Farmworkers & Laborers, Crop"	Herbs	5	11
H-300-18011-866830	1/11/2018	"DV FARMS, LLC"	843 West Cottonwood Lane	Casa Grande	AZ	85122	"Dateland, AZ 85333"	520-316-7600	Farm worker	Grains	2	10.5
H-300-18030-535440	1/30/2018	"The Growers Company,  Inc."	P.O. Box 3170	Somerton	AZ	85350	"Huron, CA 93234"	928-627-8080	General Farmworkers	Iceberg Lettuce	100	13.18
H-300-18017-831188	1/17/2018	"KENLY FARMS, INC"	5333 N 7th Street	Phoenix	AZ	85014	"Maricopa, AZ 85139"	602-955-0222	Nursery Workers	General Farm Workers	24	10.5
H-300-17361-021892	12/27/2017	Auza Ranches LLC	"843 West Cottonwood Lane, Casa Grande AZ 85122"	Casa Grande	AZ	85230	"Casa Grande, AZ 85293"	520-426-9313	Sheepherder	Open Range Livestock	8	1584.22
H-300-18012-490876	1/12/2018	"Moon Valley Farm Holdings, LLC"	"19820 N 7th Street, Suite 260"	Phoenix	AZ	85024	"Fillmore, CA 93015"	602-337-8678	"Farmworkers & Laborers, Crop"	General Farm Workers	30	13.18
H-300-18012-528623	1/12/2018	"MOON VALLEY FARM HOLDINGS, LLC"	19820 N 7th Street Suite 260	Phoenix	AZ	85024	"Coachella, CA 92236"	602-337-8678	"Farmworkers & Laborers, Crop"	General Farm Workers	10	13.18
H-300-18012-042777	1/12/2018	"Moon Valley Farm Holdings, LLC"	"19820 N 7th Street, Suite 260"	Phoenix	AZ	85024	"Fallbrook, CA 92028"	602-337-8678	"Farmworkers & Laborers, Crop"	General Farm Workers	20	13.18
H-300-18045-286916	2/14/2018	WESTERN RANGE ASSOCIATION	161 FIFTH AVENUE SOUTH	TWIN FALLS	ID	83301	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	1	1584.22
H-300-18045-286916	2/14/2018	MANTEROLA SHEEP	20625 WEST CLAYTON ROAD	CASA GRANDE	AZ	85122	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	1	1584.22
H-300-18012-910957	1/12/2018	"MOON VALLEY FARM HOLDINGS, LLC"	"19820 N 7th Street, Suite 260"	Phoenix	AZ	85024	"Riverside, CA 92504"	602-337-8678	"Farmworkers & Laborers, Crop"	General Farm Workers	30	13.18
H-300-18031-671752	2/7/2018	Nnima Bee Co LLC	7623 N Perryville Rd	Waddell	AZ	85355	"El Mirage, AZ 85355"	602-390-0801	Beekeeper	Bees	3	10.5
H-300-18046-292754	2/15/2018	"CRANE HARVESTING & TRUCKING, INC."	P.O. BOX 397	BUCKEYE	AZ	85326	"BUCKEYE, AZ 85326"	623-386-1291	EQUIPMENT OPERATOR	Grains	16	10.5
H-300-18050-714118	2/26/2018	"Ag Installers, Inc."	P.O. Box 443	Bouse	AZ	85325	"Bouse, AZ 85325"	281-330-1541	Farm worker and Laborer	Construction of Livestock Buildings	24	10.5
H-300-18051-861688	2/22/2018	"Servicios Agricolas Mex, Inc."	15368 W. Westview Dr.	Goodyear	AZ	85395	"Surprise, AZ 85388"	623-374-1167	General Farmworkers	Lettuce	120	10.5
H-300-18049-312581	2/19/2018	"Central Arizona Farming, Inc."	7332 E Butherus Dr.	Scottsdale	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	"Farmworkers and Laborers, Crop"	General Farm Workers	154	10.5
H-300-18061-797218	3/8/2018	"Ag Installers, Inc."	P.O. Box 443	Bouse	AZ	85325	"North Vernon, IN 47265"	281-330-1541	Farm worker and Laborer	Cattle	32	12.93
H-300-18053-761132	2/22/2018	PGM Packing Inc.	1450 S Atlantic Ave	Yuma	AZ	85365	"Watsonville, CA 95076"	928-329-7548	Farmworker	Cauliflower	80	13.18
H-300-18066-539232	3/7/2018	"Central Arizona Farming, Inc."	7332 E Butherus Dr.	Scottsdale	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	"Farmworkers and Laborers, Crop"	General Farm Workers	160	10.5
H-300-18051-617028	2/20/2018	Wurz Harvesting	PO Box 418	Waddell	AZ	85355	"Waddell, AZ 85355"	602-319-1100	Ag Equipment Operator	Agricultural Equipment Operators	3	15
H-300-18043-929464	2/12/2018	PGM Packing Inc.	1450 S Atlantic Ave	Yuma	AZ	85365	"Santa Maria, CA 93458"	928-329-7548	Farmworker	Broccoli	50	13.18
