original order	Original	PACEIndicator	Report date	County	Enrollment	orig total
7	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2009	NEW YORK	2184.0	2354.0
8	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2009	WESTCHESTER	170.0	2354.0
10	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2009	ALBANY	1.0	110.0
11	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2009	SCHENECTADY	108.0	110.0
12	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2009	SCHOHARIE	1.0	110.0
14	INDEPENDENT LIVING FOR SENIORS	PACE plan	JANUARY 1, 2009	MONROE	246.0	246.0
16	PACE CNY	PACE plan	JANUARY 1, 2009	CHAUTAUQUA	1.0	318.0
17	PACE CNY	PACE plan	JANUARY 1, 2009	ONONDAGA	317.0	318.0
22	AMERIGROUP	Partial capitation	JANUARY 1, 2009	NEW YORK	431.0	431.0
24	CCM SELECT	Partial capitation	JANUARY 1, 2009	NEW YORK	1040.0	1057.0
25	CCM SELECT	Partial capitation	JANUARY 1, 2009	WESTCHESTER	17.0	1057.0
27	ELANT	Partial capitation	JANUARY 1, 2009	ORANGE	104.0	138.0
28	ELANT	Partial capitation	JANUARY 1, 2009	ROCKLAND	34.0	138.0
30	GUILDNET	Partial capitation	JANUARY 1, 2009	NASSAU	519.0	6546.0
31	GUILDNET	Partial capitation	JANUARY 1, 2009	NEW YORK	5810.0	6546.0
32	GUILDNET	Partial capitation	JANUARY 1, 2009	SUFFOLK	217.0	6546.0
34	HHH CHOICES	Partial capitation	JANUARY 1, 2009	NEW YORK	706.0	706.0
36	HOMEFIRST	Partial capitation	JANUARY 1, 2009	NEW YORK	2976.0	2976.0
38	INDEPENDENCE CARE SYSTEMS	Partial capitation	JANUARY 1, 2009	NEW YORK	1331.0	1331.0
40	PARTNERS IN COMMUNITY CARE	Partial capitation	JANUARY 1, 2009	ORANGE	157.0	248.0
41	PARTNERS IN COMMUNITY CARE	Partial capitation	JANUARY 1, 2009	ROCKLAND	91.0	248.0
43	SENIOR HEALTH PARTNERS INC	Partial capitation	JANUARY 1, 2009	NEW YORK	1375.0	1375.0
45	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2009	HERKIMER	36.0	355.0
46	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2009	ONEIDA	319.0	355.0
48	TOTAL AGING IN PLACE PROGRAM	Partial capitation	JANUARY 1, 2009	ERIE	142.0	142.0
50	VNS CHOICE	Partial capitation	JANUARY 1, 2009	NEW YORK	6783.0	6783.0
52	WELLCARE	Partial capitation	JANUARY 1, 2009	NEW YORK	158.0	158.0
66	ARCHCARE SENIOR LIFE	PACE plan	JANUARY 1, 2010	NEW YORK	10.0	10.0
68	CHS BUFFALO LIFE	PACE plan	JANUARY 1, 2010	ERIE	9.0	9.0
70	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2010	NASSAU	8.0	2509.0
71	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2010	NEW YORK	2265.0	2509.0
72	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2010	SUFFOLK	61.0	2509.0
73	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2010	WESTCHESTER	175.0	2509.0
75	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2010	SCHENECTADY	101.0	101.0
77	INDEPENDENT LIVING FOR SENIORS	PACE plan	JANUARY 1, 2010	MONROE	264.0	264.0
79	PACE CNY	PACE plan	JANUARY 1, 2010	CHAUTAUQUA	1.0	342.0
80	PACE CNY	PACE plan	JANUARY 1, 2010	ONONDAGA	341.0	342.0
82	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2010	CATTARAUGUS	26.0	26.0
87	AMERIGROUP	Partial capitation	JANUARY 1, 2010	NEW YORK	702.0	702.0
89	CCM SELECT	Partial capitation	JANUARY 1, 2010	NEW YORK	1482.0	1506.0
90	CCM SELECT	Partial capitation	JANUARY 1, 2010	WESTCHESTER	24.0	1506.0
92	ELANT	Partial capitation	JANUARY 1, 2010	ORANGE	110.0	143.0
93	ELANT	Partial capitation	JANUARY 1, 2010	ROCKLAND	33.0	143.0
95	GUILDNET	Partial capitation	JANUARY 1, 2010	NASSAU	473.0	6379.0
96	GUILDNET	Partial capitation	JANUARY 1, 2010	NEW YORK	5609.0	6379.0
97	GUILDNET	Partial capitation	JANUARY 1, 2010	SUFFOLK	297.0	6379.0
99	HHH CHOICES	Partial capitation	JANUARY 1, 2010	NEW YORK	807.0	807.0
101	HOMEFIRST	Partial capitation	JANUARY 1, 2010	NEW YORK	3509.0	3509.0
103	INDEPENDENCE CARE SYSTEMS	Partial capitation	JANUARY 1, 2010	NEW YORK	1430.0	1430.0
105	PARTNERS IN COMMUNITY CARE	Partial capitation	JANUARY 1, 2010	ORANGE	176.0	311.0
106	PARTNERS IN COMMUNITY CARE	Partial capitation	JANUARY 1, 2010	ROCKLAND	135.0	311.0
108	SENIOR HEALTH PARTNERS INC	Partial capitation	JANUARY 1, 2010	NEW YORK	1935.0	1935.0
110	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2010	HERKIMER	46.0	371.0
111	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2010	ONEIDA	325.0	371.0
113	TOTAL AGING IN PLACE PROGRAM	Partial capitation	JANUARY 1, 2010	ERIE	141.0	141.0
115	VNS CHOICE	Partial capitation	JANUARY 1, 2010	NEW YORK	7791.0	7791.0
117	WELLCARE	Partial capitation	JANUARY 1, 2010	NEW YORK	665.0	665.0
132	ARCHCARE SENIOR LIFE	PACE plan	JANUARY 1, 2011	NEW YORK	117.0	117.0
134	CHS BUFFALO LIFE	PACE plan	JANUARY 1, 2011	ERIE	44.0	44.0
136	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2011	NASSAU	9.0	2556.0
137	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2011	NEW YORK	2320.0	2556.0
138	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2011	SUFFOLK	63.0	2556.0
139	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2011	WESTCHESTER	164.0	2556.0
141	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2011	ALBANY	2.0	109.0
142	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2011	SCHENECTADY	107.0	109.0
144	INDEPENDENT LIVING FOR SENIORS	PACE plan	JANUARY 1, 2011	MONROE	275.0	275.0
146	PACE CNY	PACE plan	JANUARY 1, 2011	CHAUTAUQUA	1.0	400.0
147	PACE CNY	PACE plan	JANUARY 1, 2011	ONONDAGA	398.0	400.0
148	PACE CNY	PACE plan	JANUARY 1, 2011	OSWEGO	1.0	400.0
150	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2011	ALLEGANY	3.0	58.0
151	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2011	CATTARAUGUS	55.0	58.0
156	AMERIGROUP	Partial capitation	JANUARY 1, 2011	NEW YORK	924.0	924.0
158	CCM SELECT	Partial capitation	JANUARY 1, 2011	NEW YORK	1843.0	1874.0
159	CCM SELECT	Partial capitation	JANUARY 1, 2011	WESTCHESTER	31.0	1874.0
161	ELANT	Partial capitation	JANUARY 1, 2011	ORANGE	114.0	148.0
162	ELANT	Partial capitation	JANUARY 1, 2011	ROCKLAND	34.0	148.0
164	ELDERPLAN	Partial capitation	JANUARY 1, 2011	NEW YORK	3545.0	3545.0
166	ELDERSERVE	Partial capitation	JANUARY 1, 2011	NASSAU	9.0	256.0
167	ELDERSERVE	Partial capitation	JANUARY 1, 2011	NEW YORK	240.0	256.0
168	ELDERSERVE	Partial capitation	JANUARY 1, 2011	WESTCHESTER	7.0	256.0
170	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2011	ORANGE	204.0	388.0
171	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2011	ROCKLAND	184.0	388.0
173	GUILDNET	Partial capitation	JANUARY 1, 2011	NASSAU	475.0	6243.0
174	GUILDNET	Partial capitation	JANUARY 1, 2011	NEW YORK	5389.0	6243.0
175	GUILDNET	Partial capitation	JANUARY 1, 2011	SUFFOLK	379.0	6243.0
177	HHH CHOICES	Partial capitation	JANUARY 1, 2011	NEW YORK	950.0	950.0
179	HOMEFIRST	Partial capitation	JANUARY 1, 2011	NEW YORK	35.0	35.0
181	INDEPENDENCE CARE SYSTEMS	Partial capitation	JANUARY 1, 2011	NEW YORK	1645.0	1645.0
183	SENIOR HEALTH PARTNERS INC	Partial capitation	JANUARY 1, 2011	NEW YORK	2535.0	2535.0
185	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2011	HERKIMER	51.0	386.0
