license_id	status	business_name	business_address	business_city	business_state	business_zip	last_name	first_name	phone	owner	expires_txt	issued_txt	county	license_type_code	license_type_desc	agent_last	agent_first
003070001511	Active	SANTAN BREWING COMPANY	1525 E BETHANY HOME Road	PHOENIX	Arizona	85014	ANTHONY ALFRED CANECCHIA		6025957390	ASAC LLC	11/30/2019	06/22/2018	Maricopa	003	Microbrewery	CANECCHIA	ANTHONY
003070001678	Active	DUBINA BREWING CO	17035 N 67TH Avenue #6 & 7	GLENDALE	Arizona	85308	CARLOS JINAN TOMA		6234127770	CT BREWING ENTERPRISES LLC	11/30/2019	07/11/2018	Maricopa	003	Microbrewery	TOMA	CARLOS
003070002357	Active	UNCLE BEAR'S BREWERY	612 E GERMANN Road	GILBERT	Arizona	85297	JEFFREY CRAIG MILLER		4808671585	UNCLE BEAR'S BREWERY LLC	11/30/2019	08/24/2018	Maricopa	003	Microbrewery	MILLER	JEFFREY
003070002381	Active	ARIZONA WILDERNESS BREWING	912  N COLORADO Street	GILBERT	Arizona	85233	JEFFREY CRAIG MILLER		4807302675	ARIZONA WILDERNESS BREWING COMPANY LLC	11/30/2019	08/27/2018	Maricopa	003	Microbrewery	MILLER	JEFFREY
003070002460	Active	HELLUVA BREWING COMPANY	3950 W RAY Road #5	CHANDLER	Arizona	85226	JARED MICHAEL REPINSKI		4806646488	HELLUVA BREWING COMPANY LLC	11/30/2019	09/04/2018	Maricopa	003	Microbrewery	REPINSKI	JARED
003070002486	Active	TRANSPLANT CITY BEER COMPANY	107 W HONEYSUCKLE Street	LITCHFIELD PARK	Arizona	85340	PAUL MICHAEL POWER		4802312624	BEERDOPOWER BREWING LLC	11/30/2019	09/05/2018	Maricopa	003	Microbrewery	POWER	PAUL
003070002761	Active	FRONT POURCH BREWING	1611 W WHISPERING WIND  Drive STE 7-8	PHOENIX	Arizona	85085	DIANA ELLEN BOLSTROM		6232770526	ARIGON BREWING GROUP LLC	11/30/2019	09/20/2018	Maricopa	003	Microbrewery	BOLSTROM	DIANA
003070002789	Active	FLIX BREWHOUSE	1 W CHANDLER  Boulevard	CHANDLER	Arizona	85225	PERRY CHARLES HUELLMANTEL		4809212800	FLIX BREWHOUSE AZ LLC	11/30/2019	09/21/2018	Maricopa	003	Microbrewery	HUELLMANTEL	PERRY
003070004137	Active	STATE 48 FUNKHOUSE BREWERY	6770 N SUNRISE Boulevard STE G-100	GLENDALE	Arizona	85305	ANGELA RANA		6238774448	S48B WESTGATE INC	11/30/2019	12/26/2018	Maricopa	003	Microbrewery	RANA	ANGELA
003070004507	Active	STATE 48 LAGER HOUSE	15600 N HAYDEN  Road #A	SCOTTSDALE	Arizona	85260	MARIO ANGELO RANA		4802444589	STATE 48 LAGER HOUSE INC	11/30/2019	01/22/2019	Maricopa	003	Microbrewery	RANA	MARIO
003080001374	Active	HANGAR 24	5600 N HWY 95 #6	LAKE HAVASU CITY	Arizona	86404	ANDREA DAHLLMAN LEWKOWITZ		9288464379	HANGAR 24 CRAFT BREWERY LLC	11/30/2019	06/06/2018	Mohave	003	Microbrewery	LEWKOWITZ	ANDREA
003090001559	Active	PINETOP BREWING COMPANY	857 E WHITE MOUNTAIN  Boulevard STE 1	PINETOP	Arizona	85935	JAMES MCKENNA MALONEY		9283675263	PINETOP BREWING COMPANY LLC	11/30/2019	06/28/2018	Navajo	003	Microbrewery	MALONEY	JAMES
003100002005	Active	TEN 55 BREWPUB	110 E CONGRESS Street	TUCSON	Arizona	85701	MYRON CHRISTOPHER SQUIRES		5204618073	TEN 55 BREWPUB LLC	11/30/2019	08/01/2018	Pima	003	Microbrewery	SQUIRES	MYRON
003100003636	Active	VOLTRON BREWING COMPANY	330 S TOOLE Avenue #200	TUCSON	Arizona	85701	JEREMY DAVID HILDERBRAND		5209773611	VOLTRON BREWING COMPANY LLC	11/30/2019	11/05/2018	Pima	003	Microbrewery	HILDERBRAND	JEREMY
003110001524	Active	RANCH HOUSE BREWERY	31143 S AMENITY Drive	ORACLE	Arizona	85623	GEORGE IRA ATWELL III		5208186010	SADDLEBROOKE RANCH HOMEOWNERS ASSOCIATION INC	11/30/2019	06/25/2018	Pinal	003	Microbrewery	ATWELL III	GEORGE
006110004760	Not Approved	QUEEN VALLEY COUNTRY CLUB	685 N FAIRWAY Drive	QUEEN VALLEY	Arizona	85118	ROSALENA PALACIO INZUNZA		5204632070	QUEEN VALLEY COUNTRY CLUB LLC	08/31/2019	02/11/2019	Pinal	006	Bar	INZUNZA	ROSALENA
006130005238	Active	MORTIMER FARMS INC	12907 E STATE ROUTE 169	DEWEY	Arizona	86327	SHARLA DINE MORTIMER		9289258721	MORTIMER FARMS INC	08/31/2019	03/12/2019	Yavapai	006	Bar	MORTIMER	SHARLA
007070005224	Active	VIA DELLA	222 N 5TH  Avenue	PHOENIX	Arizona	85003	TANNER LOCUST		6024321922	SLICE SHOP LLC	02/29/2020	03/12/2019	Maricopa	007	Beer & wine bar	LOCUST	TANNER
010010002481	Inactive	CIRCLE K STORE #9531	17 S MAIN  Street	EAGER	Arizona	85925	KIM KENNETH KWIATKOWSKI		6027284783	CIRCLE K STORES INC	05/31/2019	09/05/2018	Apache	010	Beer & wine store	KWIATKOWSKI	KIM
010020002815	Active	DOUGLAS CHEVRON	461 PAN AMERICAN Avenue	DOUGLAS	Arizona	85607	DOUGLAS DEAN WRIGHT		5208059000	DOUGLAS CHEVRON INC	06/30/2019	09/25/2018	Cochise	010	Beer & wine store	WRIGHT	DOUGLAS
010020004939	Active	9 ACRE TRAVEL COMPLEX	2500 W BUSINESS I-10	SAN SIMON	Arizona	85632	ANDREA DAHLMAN LEWKOWITZ		5205601010	SAL AZ PROPERTIES LLC	06/30/2019	02/20/2019	Cochise	010	Beer & wine store	LEWKOWITZ	ANDREA
010030001407	Active	LAKE MARY COUNTRY STORE AND TRAILER PARK	8510 LAKE MARY Road	FLAGSTAFF	Arizona	86005	LEVI ALBERT WHITLEY		9287741742	LAKE MARY COUNTRY STORE AND TRAILER PARK LLC	05/31/2019	06/12/2018	Coconino	010	Beer & wine store	WHITLEY	LEVI
010030002044	Active	HAPPY JACK STOP & GET IT	HWY 87 MP #290	HAPPY JACK	Arizona	86024	TRACY TOLLESON		9284772211	HAPPY JACK STOP & GET IT LLC	05/31/2019	08/06/2018	Coconino	010	Beer & wine store	TOLLESON	TRACY
010030003999	Active	SWIFT TRAVEL CENTER	3099 W SHAMRELL Boulevard	FLAGSTAFF	Arizona	86005	STEVEN KEITH HALLUM		9286064386	BYPASS FLAGSTAFF LLC	05/31/2019	12/07/2018	Coconino	010	Beer & wine store	HALLUM	STEVEN
010030004250	Active	MARRIOTT RESIDENCE INN	100 N HUMPHREYS	FLAGSTAFF	Arizona	86001	SHANE JENNINGS SHUMWAY		9284405499	COLEGA MANAGEMENT SERVICES LLC	05/31/2019	01/04/2019	Coconino	010	Beer & wine store	SHUMWAY	SHANE
010040001582	Active	RYE MERCHANTILE	200 N GISELA Road STE 2	RYE	Arizona	85541	LUCKETT	LUCIEN	6023207892		06/30/2019	07/02/2018	Gila	010	Beer & wine store		
010040005489	Active	DAVE'S FAST STOP	727 LIVE OAK Street	MIAMI	Arizona	85539	SUKHDEV SINGH		9284733380	DAVE'S FAST STOP III LLC	06/30/2019	03/27/2019	Gila	010	Beer & wine store	SINGH	SUKHDEV
010050005513	Active	THATCHER CHEVRON	2370 US HWY 70	THATCHER	Arizona	85552	GINA MONINDER GILL		9284280443	GG OPRATING LLC	06/30/2019	03/28/2019	Graham	010	Beer & wine store	GILL	GINA
010050005620	Active	MT GRAHAM MARKET	1000 W STATE ROUTE 366	SAFFORD	Arizona	85546	MICHAEL LOS BODINE		9284287249	M & B BODINE LLC	06/30/2019	04/02/2019	Graham	010	Beer & wine store	BODINE	MICHAEL
010070000735	Cancelled	DISCOUNT KING MARKET	2101 W ADAMS Street	PHOENIX	Arizona	85009	AJEL CONVENIENCE MARKET LLC		6023540757	AJEL CONVENIENCE MARKET LLC	12/31/2018	04/18/2018	Maricopa	010	Beer & wine store	AJEL	EHAB
010070000917	Cancelled	CIRCLE K STORE #2741702	2955 E RIGGS Road	CHANDLER	Arizona	85249	KIM KENNETH KWIATKOWSKI		4808832052	CIRCLE K STORES INC	12/31/2018	04/30/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001320	Active	EL REY DE LOS OSTIONES	4141 N 35TH  Avenue STE 1	PHOENIX	Arizona	85017	GENESIS HERNANDEZ		6026281945	EL REY DE LOS OSTIONES LLC	12/31/2019	05/30/2018	Maricopa	010	Beer & wine store	HERNANDEZ	GENESIS
010070001379	Active	MAX STORES	1201 E MISSOURI Avenue	PHOENIX	Arizona	85014	ANDREA DAHLMAN LEWKOWITZ		6022661711	SAL MARKETS, LLC	12/31/2019	06/06/2018	Maricopa	010	Beer & wine store	LEWKOWITZ	ANDREA
010070001435	Active	JOSEPH QUICK STOP	14875 N CAVE CREEK Road	PHOENIX	Arizona	85032	JOSEPH SAYEGH		6029923465	JOSEPH QUICK STOP LLC	12/31/2019	06/13/2018	Maricopa	010	Beer & wine store	SAYEGH	JOSEPH
010070001471	Active	COBBLESTONE AUTO SPA & MARKET #33	14031 W INDIAN SCHOOL Road	LITCHFIELD PARK	Arizona	85395	AMY S NATIONS		6233986038	COBBLESTONE AUTO SPA 33 LLC	12/31/2019	06/18/2018	Maricopa	010	Beer & wine store	NATIONS	AMY
010070001541	Active	AZ MINI MARKET	3437 W DUNLAP Avenue #C	PHOENIX	Arizona	85051	GEORGE IBRAHIM		6022461818	STORES EXPERT LLC	12/31/2019	06/26/2018	Maricopa	010	Beer & wine store	IBRAHIM	GEORGE
010070001550	Active	PLAZA MARKET	1902 W FAIRMOUNT  Avenue	PHOENIX	Arizona	85015	MAREI KANAWATI		6025967623	A TO Z GAS & MART LLC	12/31/2019	06/28/2018	Maricopa	010	Beer & wine store	KANAWATI	MAREI
010070001632	Active	DUNLAP FUEL	2710 W DUNLAP Avenue	PHOENIX	Arizona	85051	MYUNG HOO CHOI		6029435529	DUNLAP FUEL INC	12/31/2019	07/05/2018	Maricopa	010	Beer & wine store	CHOI	MYUNG
010070001654	Active	YOUNGTOWN MARKET PLACE	12238 N 111TH Avenue	YOUNGTOWN	Arizona	85363	JESSE EUGENE HOWARD JR		6235053027	HOWARD FAMILY HOLDINGS LLC	12/31/2019	07/09/2018	Maricopa	010	Beer & wine store	HOWARD JR	JESSE
010070001661	Active	CARNICERIA LA TAPATIA	517 W WESTERN Avenue	AVONDALE	Arizona	85323	ELISEO GOMEZ CASTILLO		6239329699	CARNICERIA LA TAPATIA LLC	12/31/2019	07/10/2018	Maricopa	010	Beer & wine store	GOMEZ CASTILLO	ELISEO
010070001669	Active	TEMPE DADS BEER, WINE, SMOKE, & FOOD STORE	1324 W UNIVERSITY Drive	TEMPE	Arizona	85281	JAYAKER JOSEPH NAGAMALLA		4809990137	JSS NETWORK LLC	12/31/2019	07/10/2018	Maricopa	010	Beer & wine store	NAGAMALLA	JAYAKER
