rowid,loan_range,business_name,address,city,state,zip,naics_code,naics_desc,business_type,race_ethnicity,gender,veteran,non_profit,jobs_reported,date_approved,lender,min_value,max_value
1,a $5-10 million,AKDHC LLC,3333 E CAMELBACK,PHOENIX,AZ,85018,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,438,2020-04-27,BBVA USA,5000000,1000000
2,a $5-10 million,AMERIFIRST FINANCIAL INC,"1550 E MCKELLIPS RD, STE 117",MESA,AZ,85203,523999,Miscellaneous Financial Investment Activities,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,471,2020-04-27,Little Horn State Bank,5000000,1000000
3,a $5-10 million,"ARIZONA COMMUNITY PHYSICIANS, P.C.",5055 E BROADWAY BLVD Ste A100,TUCSON,AZ,85711,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-29,The Northern Trust Company,5000000,1000000
4,a $5-10 million,ATRIUM FINANCE I LP,2398 E CAMELBACK RD STE 1000,PHOENIX,AZ,85016,721110,Hotels (except Casino Hotels) and Motels,Partnership,Unanswered,Unanswered,Unanswered,,0,2020-04-30,"Wells Fargo Bank, National Association",5000000,1000000
5,a $5-10 million,"CANNON & WENDT ELECTRIC CO., INC.",4020 N. 16th St.,PHOENIX,AZ,85016,238210,Electrical Contractors and Other Wiring Installation Contractors,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,0,2020-04-06,"UMB Bank, National Association",5000000,1000000
6,a $5-10 million,CHILDRENS LEARNING ADVENTURE USA LLC,14631 N SCOTTSDALE RD SUITE 200,SCOTTSDALE,AZ,85254,624410,Child Day Care Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",5000000,1000000
7,a $5-10 million,"CONNECTIONS HEALTH SOLUTIONS, LLC",2394 E CAMELBACK RD STE 200,PHOENIX,AZ,85016,621420,Outpatient Mental Health and Substance Abuse Centers,Limited  Liability Company(LLC),American Indian or Alaska Native,Male Owned,Non-Veteran,,500,2020-04-27,Commerce Bank of Arizona,5000000,1000000
8,a $5-10 million,"CS RENTAL PROPERTIES, LLC",2051 SUNSET RD SUITE 101,TUCSON,AZ,85704,541330,Engineering Services,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,300,2020-04-28,Western Alliance Bank,5000000,1000000
9,a $5-10 million,"DAWG, INC.",15685 N CAVE CREEK RD,PHOENIX,AZ,85032,561320,Temporary Help Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,349,2020-04-11,Johnson Bank,5000000,1000000
10,a $5-10 million,"DESERT STONE ARCH PROPERTIES, LLC (EPC)",2810 S. SOSSAMAN RD STE 106,MESA,AZ,85212,561710,Exterminating and Pest Control Services,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,500,2020-04-29,Comerica Bank,5000000,1000000
11,a $5-10 million,"EVO TRANSPORTATION & ENERGY SERVICES, INC.",2075 West Pinnacle Peak Rd. Ste. 130,PHOENIX,AZ,85027,488510,Freight Transportation Arrangement,Corporation,Unanswered,Male Owned,Non-Veteran,,500,2020-04-13,"BOKF, National Association",5000000,1000000
12,a $5-10 million,FPR-II LLC,5310 E HIGH ST SUITE 300,PHOENIX,AZ,85054,561320,Temporary Help Services,Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",5000000,1000000
13,a $5-10 million,HAYDON BUILDING CORP,4640 EAST COTTON GIN LOOP,PHOENIX,AZ,85040,236220,Commercial and Institutional Building Construction,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,436,2020-04-09,"Zions Bank, A Division of",5000000,1000000
14,a $5-10 million,HEALTH SERVICES HOLDINGS INC,3133 East Camelback Road,PHOENIX,AZ,85016,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,378,2020-04-27,BBVA USA,5000000,1000000
15,a $5-10 million,"HOME HEALTH AGENCY - ARIZONA, LLC",2999 N44th Street Suite 100,PHOENIX,AZ,85018,621610,Home Health Care Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-11,"JPMorgan Chase Bank, National Association",5000000,1000000
