combined_type	seqnos	calltype	responsible_company	responsible_org_type	responsible_city	responsible_state	responsible_zip	source	date_received	date_complete	description_of_incident	type_of_incident	incident_cause	incident_dtg	incident_location	location_address	location_street1	location_nearest_city	location_state	location_county	location_zip	potential_flag	distance_from_location	incident_date	incident_time	has_lat_long	fire_involved	any_evacuations	any_injuries	number_injured	any_fatalities	number_fatalities	any_damages	air_corridor_closed	waterway_closed	road_closed	media_interest	medium_desc	body_of_water	release_secured	desc_remedial_action	weather_conditions	water_supply_contaminated	additional_info	state_agency_notified	federal_agency_notified	az_incident
ALL TABLES	177	INC	CHEMICAL DISPOSAL CO.	PRIVATE ENTERPRISE	RILLITO	AZ	85654	UNAVAILABLE	1990-01-03		"1.5"" COUPLING LEAKED"	MOBILE	UNKNOWN	OCCURRED		PMG TRACK 3 LEASE		YUMA	AZ	YUMA				1990-01-03	08:30:00	N	N	N	N	0	N	0	N					LAND			LEAK STOPPED AND SORBENTS ARE BEING USED TO CLEAN SPILL						Y
ALL TABLES	188	INC	METRO OIL CORP	PRIVATE ENTERPRISE	TUCSON	AZ	85713	UNAVAILABLE	1990-01-03		EXTERNAL CORROSION ON DRAIN LINE FOR FACILITY	MOBILE	UNKNOWN	OCCURRED		WEST BAY FACILITY 2	LAT 29 07 10 LONG 89 24 3		AZ	COCHISE				1990-01-03	04:30:00	N	N	N	Y	1	N	0	N	N	N	N		LAND		U	NONE		U	SHEEN 50 FT BY 50 FT, SILVERY			Y
ALL TABLES	739	INC	CLIFF REID CONSTRUCTION	PRIVATE ENTERPRISE	LAKE HAVESU	AZ		UNAVAILABLE	1990-01-11			FIXED	UNKNOWN	DISCOVERED				BULL HEAD CITY	AZ	MOJAVE				1990-01-11	10:54:00	N	N	N	N	0	N	0	N					LAND									Y
ALL TABLES	1355	INC	EDISON ELECTRIC PLANT	PUBLIC UTILITY	LAUGHLIN	NV		UNAVAILABLE	1990-01-19		ILLEGAL BURYING	FIXED	UNKNOWN	DISCOVERED					AZ	MOJAVE				1990-01-19	11:10:00	N	N	N	N	0	N	0	N	N	N	N		AIR		U	NONE.		U	CALLERS DOG DIED FROM DRINKING WATER IN YARD.			Y
ALL TABLES	1477	INC	HILL BROTHERS CHEMICAL	PRIVATE ENTERPRISE	PHOENIX	AZ	85019	UNAVAILABLE	1990-01-21		MATERIAL RELEASED WHEN OPERATOR LEFT BLOCK VALVE                       ON COMPRESSOR SUCTION DRUM OPEN.	FIXED	UNKNOWN	DISCOVERED				PHOENIX	AZ	MARICOPA				1990-01-21	14:30:00	N	N	N	N	0	N	0	N	N	N	N		LAND		U	SITUATION CORRECTED AFTER 1 3/4 HOURS.		U	CALLER INTENDS TO NOTIFY LEPC AND TX WC.			Y
ALL TABLES	1562	INC	APACHE POWDER CO	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1990-01-22		UNK / UNK	FIXED	UNKNOWN	DISCOVERED				BENSON	AZ	COCHISE				1990-01-22	10:00:00	N	N	N	N	0	N	0	N	N	N	N		LAND		U	NONE                                                                   GAVE CALLER # FOR LA DEQ		U	POLICE TOLD CALLER THAT A GAS COMP DUMPED SOMETHING IN A PIT AT THE    BACK OF THE SUBDIVISION; CAUSES NAUSEA AND DIFFICULTY BREATHING			Y
ALL TABLES	1752	INC	BRUSH WELLMAN CO.	PRIVATE ENTERPRISE	TUSCON	AZ	85706	UNAVAILABLE	1990-01-24		TRACTOR TRAILER TRUCK OVERTURNED INTO THE RIVER.  NO                   OTHER VEHICLES WERE INVOLVED. TRUCKS FUEL TANKS ARE LEAKING.	FIXED	UNKNOWN	OCCURRED		OLD AND LOST RIVER BRIDGE	BETWEEN ANAHUAC AND HOUST	DELTA	UT	MILLARD				1990-01-24	15:30:00	N	N	N	N	0	N	0	N	N	N	N		LAND		U	POLICE ARE ON SITE		U	IT IS UNKNOWN IF THERE ARE ANY INJURIES			Y
ALL TABLES	6242	INC	USAF- LUKE AFB	FEDERAL GOVERNMENT	LUKE AFB	AZ	85309	UNAVAILABLE	1990-01-30	1990-01-30	TANK TRUCK/FAILED SHUTOFF VALVE	MOBILE	EQUIPMENT FAILURE	DISCOVERED		832 BSG/DEV		LUKE AFB	AZ	MARICOPA	85309			1990-01-30	06:24:00	N	N	N	U		U		N					LAND			SORBENTS APPLIED.  SOIL EXCAVATED.						Y
ALL TABLES	7254	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-02-06	1990-02-06	ACID LOADING SYSTEM / VALVE FAILURE	FIXED	EQUIPMENT FAILURE	OCCURRED		ST HWY 76		SAN MANUEL	AZ	PINAL				1990-02-05	13:30:00	N	N	N	U		U		N	N	N	N		WATER		U	THE MATERIAL WILL BE NEUTRALIZED IN THE POND		U	1951 GAL OF 93% SOLUTION			Y
ALL TABLES	8970	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-02-19	1990-02-19	FAULTY TANK GUAGE ALLOWED COMPANY TO OVERFILL STORAGE TANK WHILEUNLOADING RAIL TANK CARS.	FIXED	EQUIPMENT FAILURE	OCCURRED		GULF OF MEXICO HEADING TO	FROM TAMPICO, MX	SAN MANUEL	AZ	PINAL	85631		7 MI N	1990-02-18	15:30:00	N	N	N	U		U		N	N	N	N		LAND		U	NONE.		U	AMOUNT RELEASED = 5000 GALLONS.  THIS AMOUNT ESCAPED DIKED AREA.AN ADDITIONAL 8000 GALLONS SPILLED, BUT CONTAINED; IMMED. NEUTRALIZED.			Y
