to_committee	to_cand_id	item_prim_gen	item_trans_code	item_trans_type	item_entity_type	from_name	from_affiliation	to_name	item_date	item_amount_orig	item_memo	item_memo_text	item_image_id
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	SPACE EXPLORATION TECHNOLOGIES CORP. PAC	SPACE EXPLORATION TECHNOLOGIES CORP.	GALLEGO FOR ARIZONA	2015-03-27	1000			15970337995
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	CASTRO FOR CONGRESS	NONE	KYRSTEN SINEMA FOR CONGRESS	2015-03-18	1000			15951150109
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	KEVIN MCCARTHY FOR CONGRESS	RYAN-MCCARTHY VICTORY	MCSALLY FOR CONGRESS	2015-03-16	2000			15970358276
C00512236	H2AZ08102	G	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	KEVIN MCCARTHY FOR CONGRESS	RYAN-MCCARTHY VICTORY	MCSALLY FOR CONGRESS	2015-03-16	2000			15970358277
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	KYRSTEN SINEMA FOR CONGRESS	2015-03-23	1000			15970341768
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	GALLEGO FOR ARIZONA	2015-03-23	1000			15970341759
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	WPX ENERGY, INC. POLITICAL ACTION COMMITTEE	WPX ENERGY, INC.	FRIENDS OF JOHN MCCAIN INC	2015-03-18	1000		DIRECT CONTRIBUTION	15951131165
C00495630	H4AZ01038	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	SALMON FOR CONGRESS	2015-03-23	1000			15970341782
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	MCSALLY FOR CONGRESS	2015-03-23	1000			15970341773
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMALGAMATED TRANSIT UNION - COPE	AMALGAMATED TRANSIT UNION	KIRKPATRICK FOR ARIZONA	2015-02-19	2500		CONTRIBUTION	15950876221
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	UNITED PARCEL SERVICE INC. PAC	UNITED PARCEL SERVICE INC.	MCSALLY FOR CONGRESS	2015-02-06	1000			15950876909
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	HERBALIFE INTERNATIONAL INC. PAC	HERBALIFE INTERNATIONAL INC.	FRIENDS OF JOHN MCCAIN INC	2015-02-06	2600			15970303058
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES PAC		FRIENDS OF JOHN MCCAIN INC	2015-02-17	2500			15950874875
C00374058	H2AZ07070	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	OCEAN CHAMPIONS POLITICAL ACTION COMMITTEE	OCEAN CHAMPIONS	A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE	2015-02-24	500			15970303170
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	FRIENDS OF JOHN BOEHNER		MCSALLY FOR CONGRESS	2015-02-25	2000			15970359839
C00512236	H2AZ08102	G	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	FRIENDS OF JOHN BOEHNER		MCSALLY FOR CONGRESS	2015-02-25	2000			15970359840
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	TED DEUTCH FOR CONGRESS COMMITTEE		KYRSTEN SINEMA FOR CONGRESS	2015-03-19	1000			15970352808
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	TED DEUTCH FOR CONGRESS COMMITTEE		KIRKPATRICK FOR ARIZONA	2015-03-19	1000			15970352807
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	WESTMORELAND FOR CONGRESS	WESTMORELAND VICTORY COMMITTEE	MCSALLY FOR CONGRESS	2015-03-17	500			15951158276
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	ANDY HARRIS FOR CONGRESS	NONE	MCSALLY FOR CONGRESS	2015-03-16	1000			15970354152
