bbl,house_number,street,borough,zip_code,longitude,latitude
4088230026,87-29,Little Neck Pkwy,queens,11001,-73.7107,40.73
4084890001,269-10,Grand Central Pkwy,queens,11005,-73.7157,40.7581
4084890001,270-10,Grand Central PkWy,queens,11005,-73.7151,40.7573
4084890001,271,Grand Central Pkwy,queens,11005,-73.714,40.7577
4003040013,35-12,Bradley Ave,queens,11101,-73.9351,40.736
4000840046,45-30,Court Square,queens,11101,-73.9432,40.7453
4003680008,37-27,Crescent St,queens,11101,-73.935,40.7565
4003680006,37-31,Crescent St,queens,11101,-73.935,40.7565
4003680004,37-35,Crescent St,queens,11101,-73.9351,40.7565
4003870012,38-05,Crescent St,queens,11101,-73.936,40.7556
4004070030,40-16,Crescent St,queens,11101,-73.9383,40.7532
4004140039,41-26,Crescent St,queens,11101,-73.9395,40.7518
4004350013,43-32,Crescent St,queens,11101,-73.9424,40.7486
4000860008,45-06,Davis St,queens,11101,-73.9454,40.7455
4002990034,31-15,Greenpoint Ave,queens,11101,-73.9372,40.7346
4003110017,31-30,Greenpoint Ave,queens,11101,-73.9371,40.7346
4003110018,31-32,Greenpoint Ave,queens,11101,-73.9371,40.7347
4003110019,31-34,Greenpoint Ave,queens,11101,-73.9371,40.7347
4003110020,31-36,Greenpoint Ave,queens,11101,-73.9371,40.7347
4002320003,37-19,Greenpoint Ave,queens,11101,-73.929,40.7379
4000440023,Oct-91,Jackson Ave,queens,11101,-73.9516,40.7431
4000440023,Oct-93,Jackson Ave,queens,11101,-73.9515,40.7431
4000600008,7-Dec,Jackson Ave,queens,11101,-73.9505,40.7436
4000570008,13-01,Jackson Ave,queens,11101,-73.9495,40.7442
4000570008,13-03,Jackson Ave,queens,11101,-73.9495,40.7442
4000570008,13-05,Jackson Ave,queens,11101,-73.9494,40.7442
4002640014,28-18,Jackson Ave,queens,11101,-73.9384,40.7486
4003240023,34-09,9 St,queens,11106,-73.9396,40.7649
4004750008,38-69,9 St,queens,11101,-73.9436,40.7587
4003110002,36-21,Review Ave,queens,11101,-73.9378,40.7341
4003110024,36-12,Star Ave,queens,11101,-73.9362,40.7348
4006720035,34-26,Steinway St,queens,11101,-73.9213,40.7562
4006680036,35-44,Steinway St,queens,11101,-73.9227,40.7544
4006680038,35-48,Steinway St,queens,11101,-73.9227,40.7544
4006680040,35-52,Steinway St,queens,11101,-73.9228,40.7543
4006660010,36-07,Steinway St,queens,11101,-73.9236,40.7534
4006660008,36-11,Steinway St,queens,11101,-73.9236,40.7533
4002980013,5336,Van Dam St,queens,11101,-73.9375,40.735
4000260003,45-42,Vernon Blvd,queens,11101,-73.9526,40.7474
4000270003,46-14,Vernon Blvd,queens,11101,-73.9529,40.7464
4000280047,46-32,Vernon Blvd,queens,11101,-73.953,40.746
4000290046,47-02,Vernon Blvd,queens,11101,-73.9532,40.7453
,47-27,Vernon Blvd,queens,11101,-73.9534,40.7447
4000300048,47-34,Vernon Blvd,queens,11101,-73.9535,40.7446
4000300049,47-36,Vernon Blvd,queens,11101,-73.9535,40.7446
4000300004,47-38,Vernon Blvd,queens,11101,-73.9535,40.7446
4000450003,47-39,Vernon Blvd,queens,11101,-73.9535,40.7446
4000310002,48-18,Vernon Blvd,queens,11101,-73.9537,40.7439
4000320004,49-12,Vernon Blvd,queens,11101,-73.9539,40.7433
4000420004,49-13,Vernon Blvd,queens,11101,-73.9539,40.7433
4006550074,37-11,34 Ave,queens,11101,-73.9223,40.7574
4006550072,37-17,34 Ave,queens,11101,-73.9222,40.7573
4006740017,41-06,34 Ave,queens,11101,-73.9199,40.7562
4006740018,41-16,34 Ave,queens,11101,-73.9199,40.7562
4006900005,42-07,34 Ave,queens,11101,-73.9188,40.7557
4006900001,42-15,34 Ave,queens,11101,-73.9188,40.7557
4006910008,43-01,34 Ave,queens,11101,-73.9183,40.7555
4006910007,43-03,34 Ave,queens,11101,-73.9183,40.7555
4006910006,43-07,34 Ave,queens,11101,-73.9183,40.7555
4006910005,43-09,34 Ave,queens,11101,-73.9183,40.7555
4007030130,43-16,34 Ave,queens,11101,-73.9183,40.7555
4006910002,43-17,34 Ave,queens,11101,-73.9183,40.7555
4007030031,43-18,34 Ave,queens,11101,-73.9183,40.7554
4006910001,43-19,34 Ave,queens,11101,-73.9182,40.7555
4007070003,44-01,34 Ave,queens,11101,-73.9175,40.7551
4007070001,44-15,34 Ave,queens,11101,-73.9175,40.7551
4006740039,41-05,35 Ave,queens,11101,-73.9212,40.7547
4006740038,41-15,35 Ave,queens,11101,-73.9211,40.7547
4006660012,40-04,36 Ave,queens,11101,-73.9232,40.7535
4003600020,12-Oct,37 Ave,queens,11101,-73.9414,40.76
4003600021,14-Oct,37 Ave,queens,11101,-73.9414,40.76
4006340001,34-15,37 Ave,queens,11101,-73.9286,40.7536
4003880013,24-16,38 Ave,queens,11101,-73.9364,40.7561
4003700032,28-17,38 Ave,queens,11101,-73.9341,40.7549
4003850015,28-18,38 Ave,queens,11101,-73.9341,40.7549
4003840015,29-06,38 Ave,queens,11101,-73.9333,40.7545
4003830013,30-16,38 Ave,queens,11101,-73.9326,40.7541
4003740003,32-01,38 Ave,queens,11101,-73.9311,40.7533
4003970014,27-08,39 Ave,queens,11101,-73.9359,40.7542
4003840001,29-05,39 Ave,queens,11101,-73.9343,40.7535
4004710693,13-09,40 Ave,queens,11101,-73.9419,40.7556
4004070026,24-16,40 Ave,queens,11101,-73.9385,40.7538
4003960002,25-05,40 Ave,queens,11101,-73.9378,40.7534
4004070007,24-03,41 Ave,queens,11101,-73.9397,40.7526
4004300034,25-09,43 Ave,queens,11101,-73.9421,40.7488
4000520017,15-Nov,45 Ave,queens,11101,-73.9492,40.7477
4000520005,Nov-47,45 Ave,queens,11101,-73.9487,40.7476
4000520001,Nov-55,45 Ave,queens,11101,-73.9486,40.7476
4000780001,21-03,45 Ave,queens,11101,-73.9473,40.7473
4000770055,21-06,45 Ave,queens,11101,-73.9473,40.7473
4000780009,21-17,45 Ave,queens,11101,-73.9472,40.7473
4000770036,21-48,45 Ave,queens,11101,-73.9472,40.7473
4000550029,14-Nov,46 Ave,queens,11101,-73.9497,40.7463
4000550033,24-Nov,46 Ave,queens,11101,-73.9496,40.7463
4000760010,21-21,46 Ave,queens,11101,-73.9477,40.7459
4000290039,May-36,47 Ave,queens,11101,-73.9552,40.7459
4000280007,May-43,47 Ave,queens,11101,-73.9551,40.7459
4000470007,15-Oct,47 Ave,queens,11101,-73.9526,40.7454
4000470008,17-Oct,47 Ave,queens,11101,-73.9526,40.7454
4000460041,24-Oct,47 Ave,queens,11101,-73.9524,40.7453
4000470019,Oct-47,47 Ave,queens,11101,-73.952,40.7453
4000570028,14-Nov,47 Ave,queens,11101,-73.9502,40.7449
4000570029,18-Nov,47 Ave,queens,11101,-73.9501,40.7449
